"Afghanistan","Kabul","countryCapital"
"Albania","Tirana","countryCapital"
"Algeria","Algiers","countryCapital"
"Andorra","Andorra la Vella","countryCapital"
"Angola","Luanda","countryCapital"
"Antigua and Barbuda","St. John's","countryCapital"
"Argentina","Buenos Aires","countryCapital"
"Armenia","Yerevan","countryCapital"
"Australia","Canberra","countryCapital"
"Austria","Vienna","countryCapital"
"Azerbaijan","Baku","countryCapital"
"Bahrain","Manama","countryCapital"
"Bangladesh","Dhaka","countryCapital"
"Barbados","Bridgetown","countryCapital"
"Belarus","Minsk","countryCapital"
"Belgium","Brussels","countryCapital"
"Belize","Belmopan","countryCapital"
"Benin","Porto-Novo","countryCapital"
"Bermuda","Hamilton","countryCapital"
"Bhutan","Thimphu","countryCapital"
"Bolivia","La Paz","countryCapital"
"Bosnia and Herzegovina","Sarajevo","countryCapital"
"Botswana","Gaborone","countryCapital"
"Brazil","Brasília","countryCapital"
"Brunei","Bandar Seri Begawan","countryCapital"
"Bulgaria","Sofia","countryCapital"
"Burkina Faso","Ouagadougou","countryCapital"
"Burundi","Bujumbura","countryCapital"
"Cambodia","Phnom Penh","countryCapital"
"Cameroon","Yaoundé","countryCapital"
"Canada","Ottawa","countryCapital"
"Cape Verde","Praia","countryCapital"
"Central African Republic","Bangui","countryCapital"
"Chad","N'Djamena","countryCapital"
"Chile","Santiago","countryCapital"
"China","Beijing","countryCapital"
"Colombia","Bogotá","countryCapital"
"Costa Rica","San José","countryCapital"
"Croatia","Zagreb","countryCapital"
"Cuba","Havana","countryCapital"
"Cyprus","Nicosia","countryCapital"
"Czech Republic","Prague","countryCapital"
"Côte d'Ivoire","Yamoussoukro","countryCapital"
"Democratic Republic of the Congo","Kinshasa","countryCapital"
"Denmark","Copenhagen","countryCapital"
"Dominican Republic","Santo Domingo","countryCapital"
"Ecuador","Quito","countryCapital"
"Egypt","Cairo","countryCapital"
"El Salvador","San Salvador","countryCapital"
"Equatorial Guinea","Malabo","countryCapital"
"Eritrea","Asmara","countryCapital"
"Estonia","Tallinn","countryCapital"
"Ethiopia","Addis Ababa","countryCapital"
"Federated States of Micronesia","Palikir","countryCapital"
"Finland","Helsinki","countryCapital"
"France","Paris","countryCapital"
"Gabon","Libreville","countryCapital"
"Gambia","Banjul","countryCapital"
"Georgia","Tbilisi","countryCapital"
"Germany","Berlin","countryCapital"
"Ghana","Accra","countryCapital"
"Gibraltar","Gibraltar","countryCapital"
"Greece","Athens","countryCapital"
"Greenland","Nuuk","countryCapital"
"Guatemala","Guatemala City","countryCapital"
"Guyana","Georgetown","countryCapital"
"Haiti","Port-au-Prince","countryCapital"
"Honduras","Tegucigalpa","countryCapital"
"Hungary","Budapest","countryCapital"
"Iceland","Reykjavík","countryCapital"
"India","New Delhi","countryCapital"
"Indonesia","Jakarta","countryCapital"
"Iran","Tehran","countryCapital"
"Iraq","Baghdad","countryCapital"
"Ireland","Dublin","countryCapital"
"Israel","Jerusalem","countryCapital"
"Italy","Rome","countryCapital"
"Jamaica","Kingston","countryCapital"
"Japan","Tokyo","countryCapital"
"Jordan","Amman","countryCapital"
"Kazakhstan","Astana","countryCapital"
"Kenya","Nairobi","countryCapital"
"Kuwait","Kuwait City","countryCapital"
"Kyrgyzstan","Bishkek","countryCapital"
"Laos","Vientiane","countryCapital"
"Latvia","Riga","countryCapital"
"Lebanon","Beirut","countryCapital"
"Lesotho","Maseru","countryCapital"
"Liberia","Monrovia","countryCapital"
"Libya","Tripoli","countryCapital"
"Liechtenstein","Vaduz","countryCapital"
"Lithuania","Vilnius","countryCapital"
"Luxembourg","Luxembourg","countryCapital"
"Macedonia","Skopje","countryCapital"
"Madagascar","Antananarivo","countryCapital"
"Malawi","Lilongwe","countryCapital"
"Malaysia","Kuala Lumpur","countryCapital"
"Maldives","Malé","countryCapital"
"Mali","Bamako","countryCapital"
"Malta","Valletta","countryCapital"
"Mexico","Mexico City","countryCapital"
"Moldova","Chisinau","countryCapital"
"Monaco","Monaco","countryCapital"
"Mongolia","Ulaanbaatar","countryCapital"
"Montenegro","Podgorica","countryCapital"
"Montserrat","Plymouth","countryCapital"
"Morocco","Rabat","countryCapital"
"Mozambique","Maputo","countryCapital"
"Myanmar","Naypyidaw","countryCapital"
"Namibia","Windhoek","countryCapital"
"Nepal","Kathmandu","countryCapital"
"Netherlands","Amsterdam","countryCapital"
"Nicaragua","Managua","countryCapital"
"Niger","Niamey","countryCapital"
"Nigeria","Abuja","countryCapital"
"Norway","Oslo","countryCapital"
"Oman","Muscat","countryCapital"
"Pakistan","Islamabad","countryCapital"
"Palestine","Jerusalem","countryCapital"
"Panama","Panama City","countryCapital"
"Papua New Guinea","Port Moresby","countryCapital"
"Paraguay","Asunción","countryCapital"
"Peru","Lima","countryCapital"
"Philippines","Manila","countryCapital"
"Poland","Warsaw","countryCapital"
"Portugal","Lisbon","countryCapital"
"Puerto Rico","San Juan","countryCapital"
"Qatar","Doha","countryCapital"
"Romania","Bucharest","countryCapital"
"Russia","Moscow","countryCapital"
"Rwanda","Kigali","countryCapital"
"Saudi Arabia","Riyadh","countryCapital"
"Scotland","Edinburgh","countryCapital"
"Senegal","Dakar","countryCapital"
"Serbia","Belgrade","countryCapital"
"Sierra Leone","Freetown","countryCapital"
"Singapore","Singapore","countryCapital"
"Slovakia","Bratislava","countryCapital"
"Slovenia","Ljubljana","countryCapital"
"Somalia","Mogadishu","countryCapital"
"South Africa","Pretoria","countryCapital"
"South Korea","Seoul","countryCapital"
"Spain","Madrid","countryCapital"
"Sri Lanka","Sri Jayawardenapura Kotte","countryCapital"
"Sudan","Khartoum","countryCapital"
"Sweden","Stockholm","countryCapital"
"Switzerland","Bern","countryCapital"
"Syria","Damascus","countryCapital"
"Tanzania","Dodoma","countryCapital"
"Thailand","Bangkok","countryCapital"
"Togo","Lomé","countryCapital"
"Tunisia","Tunis","countryCapital"
"Turkey","Ankara","countryCapital"
"Turkmenistan","Ashgabat","countryCapital"
"Uganda","Kampala","countryCapital"
"Ukraine","Kiev","countryCapital"
"United Arab Emirates","Abu Dhabi","countryCapital"
"United Kingdom; England","London","countryCapital"
"United States","Washington, D.C.","countryCapital"
"Uruguay","Montevideo","countryCapital"
"Uzbekistan","Tashkent","countryCapital"
"Vatican City","Vatican City","countryCapital"
"Venezuela","Caracas","countryCapital"
"Vietnam","Hanoi","countryCapital"
"Wales","Cardiff","countryCapital"
"Wallis and Futuna","Mata-Utu","countryCapital"
"Western Sahara","El Aaiún","countryCapital"
"Yemen","Sanaá","countryCapital"
"Zambia","Lusaka","countryCapital"
"Zimbabwe","Harare","countryCapital"